GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Maven plug-in example,default,Student,6,91,1,11,3,23,2,8,1,3
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.instr,Instrumenter.new ClassWriter() {...},12,0,0,0,2,0,2,0,2,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.instr,Instrumenter,314,0,13,0,79,0,22,0,14,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,SignatureRemover,87,0,16,0,25,0,15,0,7,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,DuplicateFrameEliminator,148,0,2,0,46,0,16,0,15,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,InstrSupport,127,0,20,0,24,0,17,0,7,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,ClassInstrumenter,76,0,2,0,17,0,6,0,5,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,ClassFieldProbeArrayStrategy,142,0,2,0,35,0,8,0,7,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,ProbeCounter,32,0,4,0,11,0,7,0,5,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,MethodInstrumenter,256,0,31,0,76,0,34,0,11,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,ProbeArrayStrategyFactory,100,0,16,0,18,0,11,0,3,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,InterfaceFieldProbeArrayStrategy,201,0,4,0,48,0,9,0,7,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,LocalProbeArrayStrategy,33,0,0,0,10,0,3,0,3,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,CondyProbeArrayStrategy,74,0,0,0,17,0,3,0,3,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,NoneProbeArrayStrategy,8,0,0,0,3,0,3,0,3,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.instr,ProbeInserter,242,0,22,0,53,0,21,0,10,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.data,CompactDataInput,61,0,8,0,14,0,7,0,3,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.data,CRC64,109,0,14,0,19,0,11,0,4,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.data,CompactDataOutput,74,0,10,0,20,0,8,0,3,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,ClassProbesAdapter.new MethodSanitizer() {...},60,0,2,0,11,0,3,0,2,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,ClassProbesAdapter.new MethodProbesVisitor() {...},3,0,0,0,1,0,1,0,1,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,MethodSanitizer,33,0,6,0,8,0,6,0,3,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,ClassProbesAdapter,75,0,2,0,18,0,7,0,6,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,LabelFlowAnalyzer,220,0,19,0,81,0,31,0,21,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,MethodProbesVisitor,18,0,0,0,11,0,8,0,8,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,LabelInfo,223,0,36,0,60,0,38,0,20,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,FrameSnapshot,97,0,12,0,22,0,11,0,5,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,MethodProbesAdapter,236,0,27,0,57,0,26,0,12,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core.internal.flow,ClassProbesVisitor,9,0,0,0,4,0,2,0,2,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073.core,JaCoCo,16,0,0,0,5,0,1,0,1,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073,PreMain,120,0,2,0,16,0,5,0,4,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073,IExceptionLogger.new IExceptionLogger() {...},6,0,0,0,3,0,2,0,2,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073,Agent.new Thread() {...},10,0,0,0,3,0,2,0,2,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073,Agent.new Object() {...},33,0,0,0,1,0,1,0,1,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073,ConfigLoader,135,0,12,0,34,0,11,0,5,0
JaCoCo Maven plug-in example,org.jacoco.agent.rt.internal_43f5073,Agent,211,0,17,0,64,0,24,0,14,0
